Method,Mean F1,Std F1,Mean Precision,Std Precision,Mean Recall,Std Recall
mBERT_Slang_Stop,0.73568529332505,0.004942535717161818,0.7393417789800417,0.004819652354578299,0.7374133585381222,0.004723114071899169
mBERT_Stop,0.7348249120843758,0.005057618188126027,0.738514788779573,0.005552114164855429,0.7365863264020164,0.005094218136131472
mBERT,0.7345546336552154,0.004725701828523356,0.7378468239073569,0.005482742724951994,0.7361216131064904,0.004805540841413221
mBERT_Slang,0.7341133791322892,0.004934718888149213,0.738159459628042,0.005733513711635637,0.7359483301827348,0.00506749571784256
Slang,0.7258018461007433,0.00583460218055244,0.7292941914292607,0.005872906013675165,0.7275362318840579,0.0055744008794572
Baseline,0.7244811942122772,0.0062181339986807195,0.7282652801249527,0.0061218568931272555,0.7263468809073724,0.0059229001971562245
Stopwords,0.7235393322254102,0.007289321240430344,0.7280418849856426,0.006974003311602264,0.725693131695022,0.006959471945947827
TagTok_Slang,0.7213912341426528,0.0047213208921052475,0.7249327839181324,0.004855196696202032,0.7231962822936358,0.004594374674479971
TagTok_Slang_Stop,0.7208135499899601,0.006001943790558598,0.7244001796378661,0.0061732481473720235,0.7226370510396974,0.005906868283468017
Tagalog_Tok,0.7203910371770896,0.005580678222760079,0.7233009157418366,0.00568039850829027,0.721983301827347,0.005456206688365371
TagTok_Stop,0.7197207873378859,0.005406194770538073,0.7229981610702495,0.00554320460161555,0.7214555765595463,0.005291247232436037
